id;bodywork_type;ability;brand;model;license_late;color
1;SMS Papelería;1963;Asistente;Panamá;backing collaborative Avon;Amarillo
2;panel Morado Bedfordshire;20240;Patatas payment Salida;Consultor;Arquitecto JSON;Blanco
3;Balboa Infraestructura Investment;50489;Morado;Cantabria SDD;bus Tugrik intranet;Morado
4;JSON Madrid;93459;Sabroso Ejecutivo;Queso tangible Verde;experiences;Azul
5;Pizza;44706;array;Rojo;parse Sabroso deposit;Negro
6;Peso;53578;synthesizing Moda;Representante drive Clonado;coherente;Amarillo
7;cultivate Comunidad;37155;portal Configurable override;Monitorizado Metal interface;Berkshire GB USB;Verde
8;port;90807;Acero back-end;Account Zimbabwe;syndicate Jefe;Blanco
9;Artesanal Cuentas;82380;back Técnico;withdrawal connect RAM;Relacciones bypass;Negro
10;index;39094;Paseo Calidad;División;Berkshire Bulgaria;Violeta
